INDIVIDUAL_ID,STREAM_LABEL,AVG_DURATION_SEC
I-1000022_1,BBC1 London,7933.142857142857
I-1000022_1,BBC2 England,2636
I-1000022_1,BBC4 TV - TV,118.5
I-1000026_1,BBC News - TV,4103.5
I-1000026_1,BBC1 North West,7330.090909090909
I-1000026_1,BBC2 England,7651.818181818182
I-1000026_1,BBC4 TV - TV,9400.8
I-1000031_1,BBC1 Midlands West,8092
I-1000031_1,BBC2 England,59
I-1000048_1,BBC News - TV,118
I-1000048_1,BBC1 Yorkshire and Lincolnshire,43209.4
I-1000048_1,BBC2 England,5153.2
I-1000048_1,BBC4 TV - TV,59
I-1000073_1,BBC News - TV,59
I-1000073_1,BBC1 Wales,3279
I-1000073_1,BBC2 Wales,3937.1
I-1000073_1,BBC4 TV - TV,1248.142857142857
I-1000074_1,BBC1 North West,10896.375
I-1000074_1,BBC2 England,3989.6
I-1000074_1,BBC4 TV - TV,5544.25
I-1000098_1,BBC1 North West,1427.2857142857142
I-1000098_1,BBC2 England,1925.4
I-1000161_1,BBC Alba - TV,118
I-1000161_1,BBC News - TV,6672.8
I-1000161_1,BBC Parliament - TV,1226.5
I-1000161_1,BBC1 Scotland,9315.9
I-1000161_1,BBC2 Scotland,2581.4444444444443
I-1000161_1,BBC4 TV - TV,659
I-1000171_1,BBC1 West,6026
I-1000197_1,BBC1 Midlands West,10165.666666666666
I-1000197_1,BBC2 England,6264
I-1000197_1,BBC4 TV - TV,898
I-1000197_1,CBeebies - TV,1643.5
I-1000281_1,BBC1 Midlands West,7215.454545454545
I-1000281_1,BBC2 England,4227.142857142857
I-1000302_1,BBC News - TV,1858
I-1000302_1,BBC1 Midlands East,6291.545454545455
I-1000302_1,BBC2 England,3386.222222222222
I-1000302_1,BBC4 TV - TV,1052
I-1000342_1,BBC1 East of England,716.5
I-1000342_1,BBC2 England,1258
I-1000347_1,BBC News - TV,1047.75
I-1000347_1,BBC Parliament - TV,59
I-1000347_1,BBC1 Ulster,33073.25
I-1000347_1,BBC2 Northern Ireland,7841.083333333333
I-1000347_1,CBBC - TV,1379
I-1000403_1,BBC News - TV,3918.4
I-1000403_1,BBC1 Wales,11637.818181818182
I-1000403_1,BBC2 Wales,4217
I-1000403_1,BBC4 TV - TV,103.25
I-1000418_1,BBC News - TV,377.6666666666667
I-1000418_1,BBC1 Yorkshire and Lincolnshire,18051.545454545456
I-1000418_1,BBC2 England,2420.4
I-1000418_1,BBC4 TV - TV,3239
I-1000443_1,BBC Alba - TV,59
I-1000443_1,BBC1 Scotland,6911.888888888889
I-1000443_1,BBC2 Scotland,2098.5
I-1000443_1,BBC4 TV - TV,1277
I-1000452_1,BBC1 Scotland,5167.833333333333
I-1000452_1,BBC2 Scotland,1353
I-1000452_1,BBC4 TV - TV,178
I-1000452_1,CBBC - TV,554.1428571428571
I-1000502_1,BBC1 London,3703.5714285714284
I-1000510_1,BBC News - TV,13184
I-1000510_1,BBC Parliament - TV,7270
I-1000510_1,BBC1 Scotland,65636.3
I-1000510_1,BBC2 Scotland,19060.6
I-1000510_1,BBC4 TV - TV,898
I-1000516_1,BBC News - TV,1250.111111111111
I-1000516_1,BBC Parliament - TV,3657
I-1000516_1,BBC1 North West,32648.583333333332
I-1000516_1,BBC2 England,32531.75
I-1000516_1,BBC4 TV - TV,2554
I-1000533_1,BBC News - TV,3460.5714285714284
I-1000533_1,BBC1 East of England,63025.833333333336
I-1000533_1,BBC2 England,14472.363636363636
I-1000533_1,BBC4 TV - TV,1412.7142857142858
I-1000538_1,BBC News - TV,59
I-1000538_1,BBC Parliament - TV,59
I-1000538_1,BBC1 North West,562.2
I-1000538_1,BBC2 England,3692.8333333333335
I-1000538_1,BBC4 TV - TV,479
I-1000538_1,CBBC - TV,838
I-1000563_1,BBC1 London,4973
I-1000563_1,CBBC - TV,59
I-1000630_1,BBC1 North East and Cumbria,2453.5
I-1000630_1,BBC2 England,359
