INDIVIDUAL_ID,AGERAW,GENDER,BBC_VMF,SKY_VMF,VIRGIN_VMF,ALBA,BBC1,BBC2,BBC4,CBBC,CBEEBIES,NEWS,PARLIAMENT
I-8045061_1,34,2,2,4,0,0,34.2,0.9,0,0,64.9,0,0
I-8044939_1,30,2,1,0,1,0,100,0,0,0,0,0,0
I-8044494_1,27,2,3,1,2,0,40.2,49.4,1.1,0,5.9,3.5,0
I-8044469_1,25,2,6,4,5,0,100,0,0,0,0,0,0
I-8044442_1,33,2,0,0,0,0,100,0,0,0,0,0,0
I-8044432_1,30,1,3,4,6,0,45.3,14.9,0,5.2,34.6,0,0
I-8044414_1,34,2,2,4,4,0,100,0,0,0,0,0,0
I-8044394_1,30,2,4,0,7,0,28.8,1.1,0,0,70,0,0
I-8044376_1,33,2,7,5,9,0,100,0,0,0,0,0,0
I-8044367_1,43,2,1,2,0,0,98.8,0,1.2,0,0,0,0
I-8044366_1,51,2,10,0,0,0,31.8,52,16.2,0,0,0,0
I-8044361_1,35,1,5,6,5,0,96.5,0,0,0,0,0,3.5
I-8044277_1,26,2,4,7,4,0,0,0,0,0,0,0,0
I-8044274_1,68,1,9,0,0,0,62.5,35.8,1.7,0,0.1,0,0
I-8044257_1,35,2,5,5,3,0,0,0,0,0,0,0,0
I-8044188_1,22,1,7,8,7,0,100,0,0,0,0,0,0
I-8044047_1,24,2,3,4,3,0,25.3,26.7,0,0,0,47.5,0.4
I-8044019_1,33,2,2,2,2,0,24.2,15.2,0,17.5,43.1,0,0
I-8043968_1,35,2,1,6,9,0,71.2,28.8,0,0,0,0,0
I-8043936_1,24,1,7,4,6,0,61.1,37.3,1.6,0,0,0,0
I-8043889_1,19,2,1,4,3,0,0,0,0,0,0,0,0
I-8043883_1,19,2,4,0,10,0,50,0,50,0,0,0,0
I-8043879_1,30,1,6,5,3,0,98.1,0.9,0,0,1.1,0,0
I-8043871_1,19,1,6,4,3,0,0,0,0,100,0,0,0
I-8043860_1,19,1,3,2,2,0,86.1,13.9,0,0,0,0,0
I-8043859_1,20,1,10,4,7,0,0,0,100,0,0,0,0
I-8043858_1,18,2,6,3,1,0,100,0,0,0,0,0,0
I-8043809_1,21,1,2,8,7,0,0,0,0,0,0,0,0
I-8043791_1,22,2,6,0,0,0,36.1,63.9,0,0,0,0,0
I-8043745_1,19,2,5,4,6,0,67.1,31.4,0,0,0,1.5,0
I-8043730_1,23,2,8,0,0,0,60,30.5,9.5,0,0,0,0
I-8043725_1,35,2,2,6,6,0,33.1,0,66.9,0,0,0,0
I-8043700_1,25,2,5,6,5,0,81.1,17.7,0,1.2,0,0,0
I-8043683_1,23,1,5,5,5,0,0,0,0,0,0,0,0
I-8043679_1,22,1,9,9,0,0,41.4,58.6,0,0,0,0,0
I-8043646_1,24,1,5,5,1,0,98,0,0,1.3,0,0.7,0
I-8043616_1,23,1,9,7,0,0,92,8,0,0,0,0,0
I-8043580_1,20,2,6,4,4,0,54.2,21.1,9.6,0,0,14.6,0.4
I-8043575_1,26,2,10,7,7,0,98,2,0,0,0,0,0
I-8043571_1,46,2,2,2,2,0,75.4,13,0,0,0,11.6,0
I-8043562_1,19,2,4,7,0,0,54.7,44.2,0,0,0,1.1,0
I-8043555_1,22,1,6,4,3,0,0,0,0,0,0,0,0
I-8043555_1,23,1,6,4,3,0,0,0,0,0,0,0,0
I-8043541_1,25,2,10,6,4,0,50,50,0,0,0,0,0
I-8043529_1,19,1,4,6,5,0,98.2,1.8,0,0,0,0,0
I-8043511_1,18,2,10,6,0,0,41,53.2,0,5.8,0,0,0
I-8043502_1,19,2,10,0,0,0,77.2,17.9,0,0,0,4.9,0
I-8043501_1,22,2,9,8,0,0,19.9,0,80.1,0,0,0,0
I-8043476_1,22,2,3,3,0,0,53.1,17,0,0,0,29.9,0
I-8043469_1,24,2,8,6,7,0,93.8,6.2,0,0,0,0,0
I-8043456_1,18,1,8,4,8,0,100,0,0,0,0,0,0
I-8043453_1,19,1,8,0,0,0,100,0,0,0,0,0,0
I-8043438_1,22,2,0,2,2,0,100,0,0,0,0,0,0
I-8043431_1,34,1,2,3,2,0,86.9,13.1,0,0,0,0,0
I-8043399_1,29,2,8,0,0,0,0,0,0,0,0,100,0
I-8043380_1,22,1,8,6,6,0,100,0,0,0,0,0,0
I-8043370_1,28,2,4,3,7,0,25.1,74.9,0,0,0,0,0
I-8043370_1,29,2,4,3,7,0,25.1,74.9,0,0,0,0,0
I-8043354_1,28,2,7,3,6,0,100,0,0,0,0,0,0
I-8043323_1,18,2,7,4,0,0,0,0,0,0,0,0,0
I-8043297_1,18,2,6,0,0,0,0,0,0,0,0,0,0
I-8043294_1,24,1,2,4,6,0,0,0,0,0,0,0,0
I-8043293_1,26,1,2,3,2,0,80.7,18.3,0.3,0,0.7,0,0
I-8043262_1,25,2,7,0,0,0,49.3,50.7,0,0,0,0,0
I-8043240_1,34,2,6,4,5,0,75.8,18.8,0,0,0,5.3,0
I-8043236_1,27,1,8,9,5,0,100,0,0,0,0,0,0
