INDIVIDUAl_ID,WEEK,STREAM_LABEL,SUM_DURATION_SEC
I-1000026_1,1,BBC News - TV,3478
I-1000026_1,1,BBC1 North West,2215
I-1000026_1,1,BBC4 TV - TV,1608
I-1000026_1,2,BBC1 North West,7916
I-1000026_1,3,BBC1 North West,3344
I-1000026_1,3,BBC2 England,237
I-1000026_1,4,BBC News - TV,4307
I-1000026_1,4,BBC1 North West,1909
I-1000026_1,4,BBC4 TV - TV,419
I-1000026_1,5,BBC News - TV,2817
I-1000026_1,5,BBC1 North West,2271
I-1000026_1,5,BBC4 TV - TV,2985
I-1000026_1,6,BBC News - TV,9050
I-1000026_1,6,BBC1 North West,5398
I-1000026_1,7,BBC News - TV,2570
I-1000026_1,7,BBC1 North West,1433
I-1000026_1,7,BBC4 TV - TV,118
I-1000026_1,8,BBC1 North West,5390
I-1000026_1,10,BBC1 North West,5806
I-1000026_1,11,BBC1 North West,5217
I-1000026_1,11,BBC2 England,827
I-1000026_1,12,BBC News - TV,2399
I-1000048_1,1,BBC1 Yorkshire and Lincolnshire,34185
I-1000048_1,1,BBC2 England,7017
I-1000048_1,2,BBC1 Yorkshire and Lincolnshire,27935
I-1000048_1,3,BBC1 Yorkshire and Lincolnshire,48102
I-1000048_1,5,BBC1 Yorkshire and Lincolnshire,46176
I-1000048_1,7,BBC1 Yorkshire and Lincolnshire,27995
I-1000048_1,8,BBC1 Yorkshire and Lincolnshire,61419
I-1000048_1,9,BBC1 Yorkshire and Lincolnshire,27696
I-1000048_1,10,BBC1 Yorkshire and Lincolnshire,50602
I-1000048_1,10,BBC2 England,59
I-1000048_1,11,BBC News - TV,118
I-1000048_1,11,BBC1 Yorkshire and Lincolnshire,55829
I-1000048_1,11,BBC2 England,9415
I-1000048_1,12,BBC1 Yorkshire and Lincolnshire,35556
I-1000073_1,1,BBC1 Wales,594
I-1000073_1,1,BBC2 Wales,4733
I-1000073_1,1,BBC4 TV - TV,2874
I-1000073_1,2,BBC News - TV,59
I-1000073_1,2,BBC1 Wales,59
I-1000073_1,2,BBC4 TV - TV,59
I-1000073_1,3,BBC1 Wales,474
I-1000073_1,3,BBC2 Wales,59
I-1000073_1,3,BBC4 TV - TV,118
I-1000073_1,4,BBC1 Wales,1555
I-1000073_1,4,BBC2 Wales,178
I-1000073_1,5,BBC1 Wales,472
I-1000073_1,5,BBC2 Wales,237
I-1000073_1,6,BBC1 Wales,296
I-1000073_1,6,BBC2 Wales,236
I-1000073_1,6,BBC4 TV - TV,118
I-1000073_1,7,BBC1 Wales,297
I-1000073_1,7,BBC4 TV - TV,118
I-1000073_1,8,BBC1 Wales,5447
I-1000073_1,8,BBC2 Wales,118
I-1000073_1,9,BBC1 Wales,3054
I-1000073_1,9,BBC2 Wales,355
I-1000073_1,9,BBC4 TV - TV,5213
I-1000073_1,12,BBC1 Wales,59
I-1000073_1,12,BBC2 Wales,778
I-1000073_1,12,BBC4 TV - TV,178
I-1000074_1,1,BBC1 North West,8154
I-1000074_1,1,BBC2 England,2397
I-1000074_1,1,BBC4 TV - TV,1975
I-1000074_1,2,BBC1 North West,23019
I-1000074_1,2,BBC2 England,10426
I-1000074_1,2,BBC4 TV - TV,7312
I-1000074_1,4,BBC1 North West,1074
I-1000074_1,5,BBC1 North West,18111
I-1000074_1,5,BBC2 England,358
I-1000074_1,5,BBC4 TV - TV,2697
I-1000074_1,6,BBC1 North West,18343
I-1000074_1,6,BBC2 England,4912
I-1000074_1,6,BBC4 TV - TV,7014
I-1000074_1,7,BBC1 North West,4495
I-1000074_1,8,BBC1 North West,12656
